,article_number,content,dates
24,24,international times profile elian karel 22 june 2009 deleted image elian karel speaking rally abila voice protest popularist demagogue others protectors kronos leader elian karel became martyr rallying point figure disdain rabblerousing others political concern kronosian government within event filled year accented suspicious death friday leader forbearant environmental activist group karel started brand politics propelled pok spotlight island nation fueled growing dissatisfaction heavyhanded kronosian government started driving pok actionbased organization instead one waiting government make things aright resurrecting embers juliana vann campaign 10 year old girl died illnesses attributed governmentfavored gastech corporations industrial waste streams 1998 karel arrested thrown jail following pokinitiated human roadblock front gastech headquarters may karel died wednesday serving time jail government kronos refuses comment circumstances death rather charismatic karel able inspire crowd draw attention pok social political agenda could also tickle funny bone audiences gastech ceo sten sanjorge jr likened pok terrorist group press interview karel quipped sanjorge brilliant leader gastech know takes ladder supermarket heard food prices abila really high however ability engage ultimately strong armed kronos government never clear also unclear take mantle pok gone,2009-06-22
25,25,news online today brazen day time assault pok 20131216 abila kronos brazen day time assault two peace officers pok another violent terroristic act long string acts,2013-12-16
26,26,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 610 pm executive jet gastech according reported arrived tethys jr sten sanjorge bearing hours ago jet resupplied fuel quickly left international airport abila six civil employees gastech edge,2014-01-20
27,27,news online today kronos benefits foreign investment 19980119 abila kronos today fifth anniversary president araullos visionary plan bring foreign investment kronos bold act reaped tremendous benefits fair country people claim foreign investment bad country diluting culture undermining values hypocrisy bringing foreigners tell us opening country foreigners bad us ludicrous obviously sign mental illness oppose modernization,1998-01-19
28,28,kronos star pok protesters vandalize siopa district marcella trapani 20 june 2011 abila kronos protectors kronos demonstration streets siopa district downtown abila resulted numerous incidents vandalism opportunistic looting yesterday crowd members spray painted new pok logo buildings cars broke shop windows looted stores intimidated innocent bystanders police forced use tear gas water cannons disperse group hooligans,2011-06-20
29,29,international news pok kidnaps gastech employees 20140120 abila kronos protectors kronos pok suspected kidnapping fourteen gastech employees headquarters building earlier today abila police quickly secured building interviewed remaining gastech employees one employee edvard vann abila questioned hours shares family name several known pok members vann denied involvement pok claimed knowledge kidnapping tethyn federal law enforcement representatives tethyn ministry foreign affairs flew kronos escorted abila police headquarters,2014-01-20
30,30,modern rubicon scene blog 21 january 2014 850 modernization 21 january 2014 day two event gastech attending news conference unit police abila previewed 900,2014-01-21
31,31,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 630 pm gastech executive jet arrived airport occupants taken limousine gastech building,2014-01-20
32,32,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 640 pm speculation personal gastech arrived tethys expert emergency helping police search,2014-01-20
33,33,homeland illumination maha salo 7 september 2012 protests swell abila response calls action abila kronos thousands people lined roads thursday display antigovernment solidarity among demonstrators mestache vardshvna 23 west coast kronos trying get attention government told homeland illumination important took time work part important event one many wielded power free speech voice concern current lack government transparency public monies need aware know theyre added vardshvna cant steal money think get away posters colorful images elian karel juliana vann reminders heavy toll already paid leaders innocents karel prior leader protectors kronos premature death 2009 death thought murder many prompted annul rallies bring message protectors kronos public juliana vann died 1998 cancer caused environmental toxins drinking water turned ten years old,2012-09-07
34,34,central bulletin anniversary protests 20100614 abila kronos last year spontaneous protests riots broke around abila response death elian karel protectors kronos pok activist officials fear repeat last years violent activities around city upcoming anniversary karels death june 19 government officials issued brief statement assuring people abila safety utmost importance groups like protectors kronos operate fear attempting change lives government fear brief government statement ended promise back protesters indeed protests hagar awelon shopowner siopa district abila heavily impacted last years events responded government statement government kronos must last year,2010-06-14
35,35,homeland illumination elodis kronos government respond time part three petrus gerhard 15 may 1998 article last installment threepart series addressing growing problem one communitys anguish government malfeasance alarming influence multinational corporations country kronos pondo reese editor elodis weekly journal stands window looking toward sun setting tiskele river ive asked tell involvement government kronos deeply troubling account communitys struggle protection help elected officials would poison children countrys food took long time anyone respond reese tells struggle henk bodrogi man met didnt give called every department could possibly associated problem interior justice foreign affairs health henk residents made several trips abila trying get someone listen finally sympathetic person ministry health answered door thats started reese describes months meetings government officials demanded documents proving case health crop yield statistics scientific test results wellness medical records frustrating bring documents want want confirm results tell us provide additional information closed door meetings currently process negotiating date hearing ministry health present petition assistance worth tell reese nods window look shoulder see group children kicking soccer ball dust choice,1998-05-15
36,36,continent guards kronos van kronos explained terrorist group 20090223 deleted picture pok many demonstrations capital kronos van abila kept important tale remains reading government kronos explained guards kronos terrorist former days accusing deadly attack politiehoofdkwartier week groups different verdedigers arrested hardhanded act leader pok gelofte protests would continue spokesman rufus drymiau government kondigde movement give competence authorities pok burst said belonged group financed activities promoted punish eyes would see important tale remains reading guards kronos oldest largest environment activist organization kronos set 1997 influenced international groups wellness political activism mixtures environment work use negatives violence supports democratic principles slogan justice juliana reference 10 years old little girl kronosian result government died environment pollution sponsored decision reply bomb attack tuesday politiehoofdkwartier abila said kronos fulfilled abomination north south dreadful crime pok devoted drymiau said context dangerous escalation violence kronos kronosians clear declaration pok nothing knows violence possible kronos state kronos people terrorism present pok kronos add tethys antiterrorismeverdrag 1998 decision signed communicate verdedigers pok pok denied cause attack government kronos intensification kaderomhooggaand group care people silent bring accused member pok told times decision government illegitimate added protests certainly continue,2009-02-23
37,37,central bulletin kronos police arrest blotter abila 20111123 awelon cynthe dob 3201981 time arrest 0003 hrs accused drug paraphernalia blumiau willem dob 2151995 time arrest 2215 hrs accused possession controlled substance hashish pedestrn subject signal cusema brita dob 171992 time arrest 2205 hrs accused theft shoplifting5th degree dunna thad dob 9201974 time arrest 1500 hrs accused theft other3rd degree gudenz kel dob 721995 time arrest 1630 hrs accused failure maintain control dwlu holande anda dob 3261981 time arrest 0003 hrs accused improper brake light kibaliau iyan dob 431994 time arrest 1500 hrs accused theft other3rd degree mordecai francisco dob 3171971 time arrest 2215 hrs accused public intoxication possession controlled substance heroin peairs melsha dob 8311952 time arrest 1330 hrs accused forgery salaniau ferdinand dob 2171982 time arrest 0832 hrs accused theft other3rd degree,2011-11-23
38,38,kronos star kronos benefits foreign investment lelio masin 18 january 1998 abila kronos today fifth anniversary president araullos visionary plan bring foreign investment kronos bold act reaped tremendous benefits fair country todays abila bustling metropolis full new cars new construction gleaming office buildings modern conveniences gone potholed streets rundown factories tired storefronts sad marketplaces past todays abila city industry place commerce investment place opportunity success prosperity come kronos better however still wrongly think prosperity bad us people claim foreign investment bad country diluting culture undermining values claim foreigners exploiting us gain government little regard welfare people militant wrongheaded beliefs fabricated claims foreign companies poisoning children technology even gone far brought foreign experts claim best interests heart help spread agenda progress prosperity people hypocrisy bringing foreigners tell us opening country foreigners bad us ludicrous obviously sign mental illness oppose modernization,1998-01-18
39,39,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 150 pm tried twenty phone numbers gastech one else answered tried calling mr strums administrator answer phone,2014-01-20
40,40,news online today gastech kronos celebrate partnership 20140119 abila kronos local gastech executives ingrid barranco ada campocorrente orhan strum willem vascopais attend reception government officials tomorrow following business meeting headquarters building,2014-01-19
41,41,truth added taxes oil reports general assembly gas development 20010318 abila kronos motion became taxes oil gas development extra 10 raise reports today general meeting voice 77 23 presented tax increase minister health cesare nespola defended specific financing health care clean water projects supply health information country areas minister nespola aforesaid poll assembly disappointed poll assembly feared increase tax foreign investment energy sector would dissuade developement programme rural help municipalities nothing permanent office send revised added tax measure assembly later year moreover work office president kapelous restructure current gas oil taxes assignment funds rural health projects provide,2001-03-18
42,42,kronos star tiskele bend gas fields larger first thought donato petri 13 march 1996 abila kronos press release ministry interior today announced tiskele bend gas fields could much 5 times larger originally estimated contacted minister sartos office comment said astounded results gastechs recent survey tiskele bend mean huge people kronos already undertaken several large improvement projects like port expansion new hospital would otherwise able taxes seeing foreign investments news almost assures well able reap dividends decades come goes without saying president araullos plan lure foreign investment defining moment history one hopes shortsighted oppose plan finally come senses say proud say thank mr president,1996-03-13
43,43,modern rubicon scene blog 20 january 2014 modernization 1732 great part information reunited employs gastech allowed go point investigators police kidnapping several employ gastech however civil employees still confirmed kidnapping happened number employs lacking indeterminato currently given confusion begins false fire fire signaler sure indication protections kronos recent group activist charge many demonstrations commotions around abila thought suspicion responsible kidnapping align escalation alarming violence group activist,2014-01-20
44,44,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 200 pm government automobile allowed perimeter police occupant seems emergency civil employee left construction,2014-01-20
45,45,news online today pok labeled public threat 20110728 abila kronos statement press today government spokesman rufus drymiau said pok justifiably public threat due violent demonstrations opportunistic vandalism clashes police,2011-07-28
46,46,news online today sanjorge jr taking gastech international public 20130903 centrum tethys 52 years privately owned sten sanjorge jr company founded 1961 sten sanjorge sr said monday plans stock offering could place value neighborhood 375 billion,2013-09-03
47,47,guide distribution strikes government international gastech 19930313 abila kronos president araullo today announced companysignature agreement government gastech tethysbased international development gas fields curve tiskele gastech direction visionary jr sten sanjorge granted rights exclusive perforate inside governmental fields suitable request government 50 manual labor citizen kronosian president araullo hailed distribution signal like principle new one great country era opportunity fortune sources department interior say us tax 50 tax new exploration oil gas could render superior 1 billion fiscal income per year allow government makes investments without precedents infrastructure medical care education,1993-03-13
48,48,athena speaks accident traffic close elodis 20070411 abila kronos search government concluded accident traffic implying international vehicle gastech vehicle family elodis result deaths four members family result error driver behalf driver elodisian spokesman rufus drymiau government said research found accident fatal started driver elodis crossed similar traffic three passengers valeria edris celia edris marcellus edris died scene edris carmine 9 proved wander around site accidents succumbed damage later hospital abila driver truck gastech received minor damage taken hospital observations exposure international wishes gastech generosity corporation give money remaining members family,2007-04-11
49,49,world kidnapping gastech kronos 20 january 2014 abila kronos long day conflicting confusing information reports still sketchy story beginning come clear kronos government source confirmed fourteen gastech internationals employees may kidnapped companys headquarters abila much speculation remains regarding taken kidnapping speculation includes whether gastech international president ceo sten sanjorge jr target given gastech international yet make statement press speculation motivation behind kidnapping also rampant due recent gastech ipo time one claimed responsibility kidnapping edvard vann gastech kronos security guard interrogated released 6 hours indicated protectors kronos suspected perpetrators behind todays events gastech international senior security executive site support investigation aiding abila police department kronos government officials january 20th gastechs annual corporate meeting point company officers transitioning main office kronos government reception abductions took place unconfirmed reports fire office may served distraction kidnappers least contributed confusion event abila fire department trucks dispatched gastech kronos headquarters around 1000 morning local kronos time respond fire alarm,2014-01-20
50,50,abila post gastech employee interrogated released 20 january 2014 abila kronos roughly 6 hours gastech kronos employee edvard vann interrogated kronos police government officials released 1700 evening apparent confusion stems similarity name protector kronos member vann security guard gastech furious stating nothing whatsoever members terrorist group pok know one elodis born abila support government president accused interrogated 6 hours terrorist pok member one worst days life person name criminal make criminal though instructed communicate press vann adamant stress innocence 14 gastech employees still unaccounted one blame police government leaving stone unturned,2014-01-20
51,51,daily pegasus pok meeting draws thousands favor 20090309 abila kronos thousands demonstrators take flags read remember julian singing wished truth reunited front morning saturday governmental offices kronos demonstrators demanded accounting yields government fiscal incentives president araullo signed law 1993 ten years old julian vann died 1998 disease caused contaminated water operations perforated gastech made icon heartrendering movement gained aid end kronos promised better works us new ways healthcare better better standard live 20 years old protestor declined used name see greater mansions ministers hospital costs adjustment accept protestor referred apparently general hospital abila constructed 1997 money increasing yield foreign operations gas kronos nonlucrative hospital difficulty maintaining infrastructure spite sevearl made extensive restoration years replace electrical systems drilled contracts given family cronies ministers accuse 26 years old jon l traveled six hours take care meeting yesterday needed transparency government need know happens money comes inside foreign companies leader elian karel protest dealed demonstrators park city abila karel assumed control direction pok henk bodrogi bad forced health position karel spoke eloquent principles campaign pok like effort towns clean water dynamic movement improved transparency demanding turned responsibility government requesting desrazonable thing karel speaks enthusiastic ardent listeners thing wished know used taxes know corporations generating benefits files expenses kronos see engaged improvements thing wished responsibility died due avarice corruption indifference must protect calls office president returned immediately,2009-03-09
52,52,news online today grand opening gastechkronos 19951011 abila kronos trademark flash sten sanjorge jr ribbon cut huge pair scissors matched size sanjorge jrs smile,1995-10-11
53,53,abila post scene blog haneson ngohebo 20 january 2014 1545 update shadowy figures center appears kidnapping incident victims missing gastech leadership time speculate number people involved confusion building evacuation accurate count gastech employees nearly impossible,2014-01-20
54,54,abila post protesters 22 august 2012 abila kronos third anniversary elian karels death approaching former member protectors kronos question protesters protesting protectors kronos pok founded 1997 residents rural elodis advice defunct wellness wfa international water safety group pok initiated bring attention clean water issues surrounding elodis government kronos world pok asserts gastech internationals tiskele bend natural gas drilling site source contamination drinking water well destruction traditional farmland surrounding elodis 1998 wfa performed testing water elodis finding high levels benzene toluene xylene arsenic barium chromium lead selenium testing subsequent statement released wfa brought international attention pressure government gastech act however fragmenting wfa due funding issues poks demands largely ignored downplayed also 1998 juliana vann previously healthy tenyear old girl died lingering illness wfafunded doctors claimed caused water contamination government kronos officially refuted claim citing fragmentation wfa organization evidence unreliable source trusted regardless juliana became poks first martyr used julianas image campaign literature ever since poks second major martyr elian karel died 2009 incarcerated undetermined causes pok asserts arrested trumped charges government kronos contends radical violent activist engaged tax evasion karel involved pok since inception given father jeroen karel original member elian karels death 2009 marked spontaneous instances protest around abila anniversary death june 19 seen additional protests demonstrations riots violence pok evolved peaceful protests demonstrations demanding government action violent activities including riots claim government done little nothing addressing contamination poisonings deaths suffered people 2011 government kronos labeled pok public threat,2012-08-22
55,55,daily pegasus inflammation protests abila answer calls action 20140326 7 september 2012 abila kronos thousands people aligned ways thursday exhibition solidarity antigovernment demonstrators mestache vardshvna 23 coast west kronos trying obtain attention government said important took time extinguished work part important event one handled energy free speech express preoccupation present deficiency transparency government money public need found know added vardshvna soon rob money think obtain far posters colorful images elian karel julian vann reminders heavy toll already paid leaders innocents death thought murder many urged annul meetings bring message protectors kronos public julian vann died 1998 cancer caused environmental toxins potable water finished giving return ten years,2014-03-26
56,56,centrum sentinel voices blog approximately important people 20 january 2014 1515 breaking news reporter spoken hardly civil employee airport confirmation classified jet left airport abila 1430 sure number persons edge relationships pictures gastech fleeting jet confirmed 20 gen 2014,2014-01-20
57,57,news online today abila police break sitin turned violent presidential manor 20120621 traffic snarled around city abilians struggle get work amid vandalism looting early tuesday police stormed front presidential mansion capital building breaking sit protectors kronos later day largely peaceful demonstration turned violent crowd started vandalizing government buildings presidential homestead police reinforcements sent area blocked roads skirmishes police protestors broke,2012-06-21
58,58,worldwise gas layers curve tiskele thought mainly first time 19960314 abila kronos press release ministry interior announced today gas layers curve tiskele could less 5 times mainly beginning estimated came contact office sarto minister comment says astonished results recent investigation gastech curve tiskele want say simply enormous people kronos already undertook several great projects improvement like left expansion new hospital could differently made taxes see foreign investments news ensures us almost able collect dividends decades come go oneself plan president araullo delude foreign investment one moment defining history hoped shortsighted oppose plan finally came directions say proud saying thank mr chair,1996-03-14
59,59,news hank fluss gastech coo dies 73 20030518 centrum tethys hank fluss coo gastech international died heart attack desk companys downtown centrum headquarters though fluss 73 years old death came shock hank fluss spent 40 years gastech befriending sten sanjorge sr many failed wells brink financial ruin fluss sanjorge sr chief operating officer fluss overseen gastechs expansion truly making international company growing multibillion dollar operation always champion environmental causes fluss become increasingly disenchanted gastech kronos operation straining relationship ceo sten sanjorge jr hank fluss survived wife 54 years beatriz fluss 5 children 12 grandchildren,2003-05-18
60,60,news desk possible pollution elodis 19970425 elodis kronos approximately 25 km west abila small rural municipality elodis river tiskele located roughly speaking 20 km upstream place bending tiskele put gastech international state country functioning town stadslui require place country water sick pollutes making people declaration government kronos denied place bending tiskele source pollution insisting aardgas boring process clean declaration went people help well become sick source kwalen find required solve problem duty government protect people pour sa part international mean gastech entirely government since cooperate since beginning proportion,1997-04-25
61,61,news desk koperachtige attack time day pok 20131218 abila kronos koperachtige attack day time two peace civil servants pok another violent terroristic operation long tie operations two civil servants left bloodily beaten linked treetame vandalized vehicle spokesman adrien carman police force aforesaid attack attacking police force civil servant destroying government possession serious crime want public insure people justice shortly caught brought furthermore worsening situation schendden two criminals car civil servants painting emblem pok nevel two attack police force civil servants light day following,2013-12-18
62,62,guide sanjorge de gastech saves kidnapping hq gastech 20140121 abila kronos according press conference maintained headquarters gastech center tethys morning president ceo jr gastech de sten sanjorge returned surely tethys disclosed one kidnap event headquarters company constructed yesterday abila sanjorge assistiendo corporative meeting transit gastech constructed capitol happened kidnapping sanjorge four executives headquarters gastech premises take care reception received president kapelou building capitol carried reception celebrate twentieth year cooperation corporation country press conference spokesman gastech said hearts leave families kidnapped one working fast safe resolution crisis,2014-01-21
63,63,news online today gastech leadership confirmed missing 20140120 abila kronos miriam avila administrative assistant gastech international confirmed members gastech leadership fact missing maintains office centrum capital tethys gastech internationals operations take place kronos including production 5 million cubic meters gas daily,2014-01-20
64,64,athena speaks government marks pok threatens public 20110729 abila kronos government kronos marked guards kronos pok like threatens public reportratio spokesman rufus drymiau government pok described like justifiable manner threatens public due violent demonstrations opportunist vandalism dissensions police force owner store zone siopa refused called answered government marking pok public threat agree public threat time come around bring signs windows crash try fight great number steal things business suffers guards leader emilio haber patrols zone siopa said pok crash windows throw rocks sing change comb things buildings go seem stupid let us stop let us put prison belong,2011-07-29
65,65,news online today gastech adopts new logo 20090516 centrum tethys great fanfare gastech internationals president ceo sten sanjorge jr spoke new logo tripart blue flame reminiscent leaf help position gastech products clean fuel alternative rebranding process new logo seem response recent trouble multinational gas giant struggling kronos including february 19 protest gastech kronos headquarters 200 people blocked entrance building resulting several arrests,2009-05-16
66,66,guide magnificent opening new offices gastech 19951012 abila kronos president sten sanjorge jr international gastech today maintained magnificent ceremony opening new gastechkronos settles headquarters building flashing crystal steel building provides ample space office ones charge geologists engineers personnel aid regional facilities conference sports beof art ministrar sarto took care celebration saying beautiful facility monument commission sanjorge kronos due consider citizens shows prosperous future,1995-10-12
