,article_number,content,dates,cluster,Subjectivity,Polarity,Sentiment,word_freq,article_title
36,36,"['continent', 'guard', 'kronos', 'van', 'kronos', 'explained', 'terrorist', 'group', '20090223', 'deleted', 'picture', 'pok', 'many', 'demonstration', 'capital', 'kronos', 'van', 'abila', 'kept', 'important', 'tale', 'remains', 'reading', 'government', 'kronos', 'explained', 'guard', 'kronos', 'terrorist', 'former', 'day', 'accusing', 'deadly', 'attack', 'politiehoofdkwartier', 'week', 'group', 'different', 'verdedigers', 'arrested', 'hardhanded', 'act', 'leader', 'pok', 'gelofte', 'protest', 'would', 'continue', 'spokesman', 'rufus', 'drymiau', 'government', 'kondigde', 'movement', 'give', 'competence', 'authority', 'pok', 'burst', 'said', 'belonged', 'group', 'financed', 'activity', 'promoted', 'punish', 'eye', 'would', 'see', 'important', 'tale', 'remains', 'reading', 'guard', 'kronos', 'oldest', 'largest', 'environment', 'activist', 'organization', 'kronos', 'set', '1997', 'influenced', 'international', 'group', 'wellness', 'political', 'activism', 'mixture', 'environment', 'work', 'use', 'negative', 'violence', 'support', 'democratic', 'principle', 'slogan', 'justice', 'juliana', 'reference', '10', 'year', 'old', 'little', 'girl', 'kronosian', 'result', 'government', 'died', 'environment', 'pollution', 'sponsored', 'decision', 'reply', 'bomb', 'attack', 'tuesday', 'politiehoofdkwartier', 'abila', 'said', 'kronos', 'fulfilled', 'abomination', 'north', 'south', 'dreadful', 'crime', 'pok', 'devoted', 'drymiau', 'said', 'context', 'dangerous', 'escalation', 'violence', 'kronos', 'kronosians', 'clear', 'declaration', 'pok', 'nothing', 'know', 'violence', 'possible', 'kronos', 'state', 'kronos', 'people', 'terrorism', 'present', 'pok', 'kronos', 'add', 'tethys', 'antiterrorismeverdrag', '1998', 'decision', 'signed', 'communicate', 'verdedigers', 'pok', 'pok', 'denied', 'cause', 'attack', 'government', 'kronos', 'intensification', 'kaderomhooggaand', 'group', 'care', 'people', 'silent', 'bring', 'accused', 'member', 'pok', 'told', 'time', 'decision', 'government', 'illegitimate', 'added', 'protest', 'certainly', 'continue']",2009-02-23,C2,0.48557422969187675,-0.01607142857142856,Negative,"[('kronos', 13), ('pok', 9), ('group', 5), ('government', 5), ('environment', 3), ('said', 3), ('violence', 3), ('decision', 3), ('guard', 3), ('attack', 3), ('people', 2), ('abila', 2), ('explained', 2), ('continue', 2), ('tale', 2), ('important', 2), ('terrorist', 2), ('remains', 2), ('politiehoofdkwartier', 2), ('reading', 2), ('van', 2), ('drymiau', 2), ('verdedigers', 2), ('would', 2), ('protest', 2), ('escalation', 1), ('girl', 1), ('dreadful', 1), ('sponsored', 1), ('many', 1), ('accusing', 1), ('activist', 1), ('devoted', 1), ('reference', 1), ('picture', 1), ('influenced', 1), ('south', 1), ('20090223', 1), ('act', 1), ('different', 1), ('bring', 1), ('fulfilled', 1), ('kronosian', 1), ('week', 1), ('negative', 1), ('present', 1), ('use', 1), ('largest', 1), ('mixture', 1), ('illegitimate', 1), ('promoted', 1), ('nothing', 1), ('movement', 1), ('oldest', 1), ('context', 1), ('certainly', 1), ('north', 1), ('add', 1), ('abomination', 1), ('authority', 1), ('burst', 1), ('added', 1), ('deadly', 1), ('capital', 1), ('slogan', 1), ('10', 1), ('silent', 1), ('little', 1), ('antiterrorismeverdrag', 1), ('spokesman', 1), ('kept', 1), ('signed', 1), ('result', 1), ('give', 1), ('crime', 1), ('wellness', 1), ('continent', 1), ('know', 1), ('reply', 1), ('activism', 1), ('care', 1), ('eye', 1), ('denied', 1), ('bomb', 1), ('international', 1), ('punish', 1), ('hardhanded', 1), ('kronosians', 1), ('principle', 1), ('cause', 1), ('pollution', 1), ('told', 1), ('see', 1), ('arrested', 1), ('year', 1), ('clear', 1), ('1997', 1), ('gelofte', 1), ('accused', 1), ('justice', 1), ('time', 1), ('belonged', 1), ('tuesday', 1), ('state', 1), ('demonstration', 1), ('kondigde', 1), ('competence', 1), ('kaderomhooggaand', 1), ('deleted', 1), ('declaration', 1), ('financed', 1), ('1998', 1), ('juliana', 1), ('work', 1), ('day', 1), ('support', 1), ('old', 1), ('rufus', 1), ('dangerous', 1), ('died', 1), ('former', 1), ('set', 1), ('intensification', 1), ('activity', 1), ('political', 1), ('leader', 1), ('tethys', 1), ('member', 1), ('terrorism', 1), ('organization', 1), ('communicate', 1), ('democratic', 1), ('possible', 1)]",The guards of Kronos van Kronos explained terrorist group
37,37,"['central', 'bulletin', 'kronos', 'police', 'arrest', 'blotter', 'abila', '20111123', 'awelon', 'cynthe', 'dob', '3201981', 'time', 'arrest', '0003', 'hr', 'accused', 'drug', 'paraphernalia', 'blumiau', 'willem', 'dob', '2151995', 'time', 'arrest', '2215', 'hr', 'accused', 'possession', 'controlled', 'substance', 'hashish', 'pedestrn', 'subject', 'signal', 'cusema', 'brita', 'dob', '171992', 'time', 'arrest', '2205', 'hr', 'accused', 'theft', 'shoplifting5th', 'degree', 'dunna', 'thad', 'dob', '9201974', 'time', 'arrest', '1500', 'hr', 'accused', 'theft', 'other3rd', 'degree', 'gudenz', 'kel', 'dob', '721995', 'time', 'arrest', '1630', 'hr', 'accused', 'failure', 'maintain', 'control', 'dwlu', 'holande', 'anda', 'dob', '3261981', 'time', 'arrest', '0003', 'hr', 'accused', 'improper', 'brake', 'light', 'kibaliau', 'iyan', 'dob', '431994', 'time', 'arrest', '1500', 'hr', 'accused', 'theft', 'other3rd', 'degree', 'mordecai', 'francisco', 'dob', '3171971', 'time', 'arrest', '2215', 'hr', 'accused', 'public', 'intoxication', 'possession', 'controlled', 'substance', 'heroin', 'peairs', 'melsha', 'dob', '8311952', 'time', 'arrest', '1330', 'hr', 'accused', 'forgery', 'salaniau', 'ferdinand', 'dob', '2171982', 'time', 'arrest', '0832', 'hr', 'accused', 'theft', 'other3rd', 'degree']",2011-11-23,C0,0.103125,-0.03958333333333334,Negative,"[('arrest', 11), ('hr', 10), ('dob', 10), ('accused', 10), ('time', 10), ('theft', 4), ('degree', 4), ('other3rd', 3), ('substance', 2), ('2215', 2), ('controlled', 2), ('0003', 2), ('possession', 2), ('1500', 2), ('ferdinand', 1), ('brake', 1), ('abila', 1), ('0832', 1), ('heroin', 1), ('171992', 1), ('melsha', 1), ('2151995', 1), ('light', 1), ('peairs', 1), ('hashish', 1), ('improper', 1), ('1330', 1), ('bulletin', 1), ('awelon', 1), ('willem', 1), ('cynthe', 1), ('2171982', 1), ('pedestrn', 1), ('9201974', 1), ('kel', 1), ('signal', 1), ('1630', 1), ('public', 1), ('kibaliau', 1), ('francisco', 1), ('3201981', 1), ('kronos', 1), ('central', 1), ('2205', 1), ('failure', 1), ('subject', 1), ('cusema', 1), ('maintain', 1), ('dunna', 1), ('control', 1), ('mordecai', 1), ('police', 1), ('3171971', 1), ('blotter', 1), ('brita', 1), ('431994', 1), ('721995', 1), ('forgery', 1), ('salaniau', 1), ('blumiau', 1), ('iyan', 1), ('paraphernalia', 1), ('shoplifting5th', 1), ('holande', 1), ('drug', 1), ('gudenz', 1), ('intoxication', 1), ('8311952', 1), ('20111123', 1), ('thad', 1), ('dwlu', 1), ('3261981', 1), ('anda', 1)]",KRONOS POLICE ARREST BLOTTER - ABILA  
38,38,"['kronos', 'star', 'kronos', 'benefit', 'foreign', 'investment', 'lelio', 'masin', '18', 'january', '1998', 'abila', 'kronos', 'today', 'fifth', 'anniversary', 'president', 'araullos', 'visionary', 'plan', 'bring', 'foreign', 'investment', 'kronos', 'bold', 'act', 'reaped', 'tremendous', 'benefit', 'fair', 'country', 'today', 'abila', 'bustling', 'metropolis', 'full', 'new', 'car', 'new', 'construction', 'gleaming', 'office', 'building', 'modern', 'convenience', 'gone', 'potholed', 'street', 'rundown', 'factory', 'tired', 'storefront', 'sad', 'marketplace', 'past', 'today', 'abila', 'city', 'industry', 'place', 'commerce', 'investment', 'place', 'opportunity', 'success', 'prosperity', 'come', 'kronos', 'better', 'however', 'still', 'wrongly', 'think', 'prosperity', 'bad', 'u', 'people', 'claim', 'foreign', 'investment', 'bad', 'country', 'diluting', 'culture', 'undermining', 'value', 'claim', 'foreigner', 'exploiting', 'u', 'gain', 'government', 'little', 'regard', 'welfare', 'people', 'militant', 'wrongheaded', 'belief', 'fabricated', 'claim', 'foreign', 'company', 'poisoning', 'child', 'technology', 'even', 'gone', 'far', 'brought', 'foreign', 'expert', 'claim', 'best', 'interest', 'heart', 'help', 'spread', 'agenda', 'progress', 'prosperity', 'people', 'hypocrisy', 'bringing', 'foreigner', 'tell', 'u', 'opening', 'country', 'foreigner', 'bad', 'u', 'ludicrous', 'obviously', 'sign', 'mental', 'illness', 'oppose', 'modernization']",1998-01-18,C0,0.5018799102132435,-0.021226150392817052,Negative,"[('foreign', 5), ('kronos', 5), ('investment', 4), ('u', 4), ('claim', 4), ('people', 3), ('foreigner', 3), ('abila', 3), ('today', 3), ('country', 3), ('bad', 3), ('prosperity', 3), ('benefit', 2), ('place', 2), ('gone', 2), ('new', 2), ('success', 1), ('spread', 1), ('rundown', 1), ('storefront', 1), ('agenda', 1), ('poisoning', 1), ('commerce', 1), ('act', 1), ('visionary', 1), ('still', 1), ('star', 1), ('bring', 1), ('belief', 1), ('culture', 1), ('tired', 1), ('industry', 1), ('january', 1), ('reaped', 1), ('street', 1), ('city', 1), ('car', 1), ('however', 1), ('oppose', 1), ('bustling', 1), ('bold', 1), ('ludicrous', 1), ('anniversary', 1), ('come', 1), ('gleaming', 1), ('best', 1), ('militant', 1), ('think', 1), ('welfare', 1), ('lelio', 1), ('little', 1), ('expert', 1), ('factory', 1), ('full', 1), ('mental', 1), ('value', 1), ('regard', 1), ('modernization', 1), ('opportunity', 1), ('exploiting', 1), ('fabricated', 1), ('child', 1), ('technology', 1), ('heart', 1), ('interest', 1), ('masin', 1), ('office', 1), ('past', 1), ('marketplace', 1), ('construction', 1), ('sad', 1), ('metropolis', 1), ('18', 1), ('tell', 1), ('help', 1), ('sign', 1), ('obviously', 1), ('modern', 1), ('potholed', 1), ('araullos', 1), ('bringing', 1), ('undermining', 1), ('fifth', 1), ('diluting', 1), ('wrongheaded', 1), ('convenience', 1), ('brought', 1), ('president', 1), ('1998', 1), ('far', 1), ('building', 1), ('even', 1), ('plan', 1), ('hypocrisy', 1), ('better', 1), ('government', 1), ('opening', 1), ('tremendous', 1), ('fair', 1), ('illness', 1), ('company', 1), ('gain', 1), ('wrongly', 1), ('progress', 1)]",Kronos Benefits from Foreign Investment
39,39,"['kronos', 'star', 'breaking', 'emergency', 'gastech', 'headquarters', 'building', 'update', 'cato', 'rossini', 'marcella', 'trapani', '20', 'january', '2014', 'update', '150', 'pm', 'tried', 'twenty', 'phone', 'number', 'gastech', 'one', 'else', 'answered', 'tried', 'calling', 'mr', 'strum', 'administrator', 'answer', 'phone']",2014-01-20,C1,0.0,-0.0,Neutral,"[('gastech', 2), ('phone', 2), ('tried', 2), ('update', 2), ('building', 1), ('strum', 1), ('calling', 1), ('one', 1), ('administrator', 1), ('twenty', 1), ('trapani', 1), ('rossini', 1), ('else', 1), ('marcella', 1), ('answer', 1), ('2014', 1), ('20', 1), ('star', 1), ('kronos', 1), ('mr', 1), ('breaking', 1), ('number', 1), ('january', 1), ('emergency', 1), ('150', 1), ('answered', 1), ('pm', 1), ('headquarters', 1), ('cato', 1)]",Breaking: Emergency at GAStech Headquarters Building [Updates]
40,40,"['news', 'online', 'today', 'gastech', 'kronos', 'celebrate', 'partnership', '20140119', 'abila', 'kronos', 'local', 'gastech', 'executive', 'ingrid', 'barranco', 'ada', 'campocorrente', 'orhan', 'strum', 'willem', 'vascopais', 'attend', 'reception', 'government', 'official', 'tomorrow', 'following', 'business', 'meeting', 'headquarters', 'building']",2014-01-19,C0,0.05,-0.0,Neutral,"[('gastech', 2), ('kronos', 2), ('orhan', 1), ('building', 1), ('abila', 1), ('ingrid', 1), ('campocorrente', 1), ('strum', 1), ('reception', 1), ('today', 1), ('20140119', 1), ('willem', 1), ('business', 1), ('meeting', 1), ('ada', 1), ('official', 1), ('government', 1), ('following', 1), ('executive', 1), ('barranco', 1), ('local', 1), ('vascopais', 1), ('news', 1), ('partnership', 1), ('celebrate', 1), ('online', 1), ('headquarters', 1), ('attend', 1), ('tomorrow', 1)]",GAStech and Kronos Celebrate Partnership 
41,41,"['truth', 'added', 'tax', 'oil', 'report', 'general', 'assembly', 'gas', 'development', '20010318', 'abila', 'kronos', 'motion', 'became', 'tax', 'oil', 'gas', 'development', 'extra', '10', 'raise', 'report', 'today', 'general', 'meeting', 'voice', '77', '23', 'presented', 'tax', 'increase', 'minister', 'health', 'cesare', 'nespola', 'defended', 'specific', 'financing', 'health', 'care', 'clean', 'water', 'project', 'supply', 'health', 'information', 'country', 'area', 'minister', 'nespola', 'aforesaid', 'poll', 'assembly', 'disappointed', 'poll', 'assembly', 'feared', 'increase', 'tax', 'foreign', 'investment', 'energy', 'sector', 'would', 'dissuade', 'developement', 'programme', 'rural', 'help', 'municipality', 'nothing', 'permanent', 'office', 'send', 'revised', 'added', 'tax', 'measure', 'assembly', 'later', 'year', 'moreover', 'work', 'office', 'president', 'kapelous', 'restructure', 'current', 'gas', 'oil', 'tax', 'assignment', 'fund', 'rural', 'health', 'project', 'provide']",2001-03-18,C0,0.29090909090909095,-0.03712121212121212,Negative,"[('tax', 6), ('health', 4), ('assembly', 4), ('oil', 3), ('gas', 3), ('added', 2), ('nespola', 2), ('rural', 2), ('general', 2), ('development', 2), ('report', 2), ('minister', 2), ('poll', 2), ('increase', 2), ('project', 2), ('office', 2), ('became', 1), ('work', 1), ('dissuade', 1), ('abila', 1), ('fund', 1), ('moreover', 1), ('raise', 1), ('today', 1), ('provide', 1), ('restructure', 1), ('motion', 1), ('energy', 1), ('permanent', 1), ('financing', 1), ('information', 1), ('year', 1), ('assignment', 1), ('10', 1), ('meeting', 1), ('water', 1), ('later', 1), ('specific', 1), ('municipality', 1), ('foreign', 1), ('kronos', 1), ('disappointed', 1), ('extra', 1), ('presented', 1), ('send', 1), ('voice', 1), ('programme', 1), ('help', 1), ('kapelous', 1), ('20010318', 1), ('sector', 1), ('current', 1), ('investment', 1), ('measure', 1), ('would', 1), ('nothing', 1), ('area', 1), ('23', 1), ('truth', 1), ('feared', 1), ('developement', 1), ('revised', 1), ('defended', 1), ('supply', 1), ('aforesaid', 1), ('cesare', 1), ('77', 1), ('care', 1), ('president', 1), ('clean', 1), ('country', 1)]","Added taxes on oil, the reports in general assembly of the gas development "
42,42,"['kronos', 'star', 'tiskele', 'bend', 'gas', 'field', 'larger', 'first', 'thought', 'donato', 'petri', '13', 'march', '1996', 'abila', 'kronos', 'press', 'release', 'ministry', 'interior', 'today', 'announced', 'tiskele', 'bend', 'gas', 'field', 'could', 'much', '5', 'time', 'larger', 'originally', 'estimated', 'contacted', 'minister', 'sartos', 'office', 'comment', 'said', 'astounded', 'result', 'gastechs', 'recent', 'survey', 'tiskele', 'bend', 'mean', 'huge', 'people', 'kronos', 'already', 'undertaken', 'several', 'large', 'improvement', 'project', 'like', 'port', 'expansion', 'new', 'hospital', 'would', 'otherwise', 'able', 'tax', 'seeing', 'foreign', 'investment', 'news', 'almost', 'assures', 'well', 'able', 'reap', 'dividend', 'decade', 'come', 'go', 'without', 'saying', 'president', 'araullos', 'plan', 'lure', 'foreign', 'investment', 'defining', 'moment', 'history', 'one', 'hope', 'shortsighted', 'oppose', 'plan', 'finally', 'come', 'sens', 'say', 'proud', 'say', 'thank', 'mr', 'president']",1996-03-13,C0,0.5002323656735422,0.16547937356760886,Positive,"[('tiskele', 3), ('kronos', 3), ('bend', 3), ('say', 2), ('foreign', 2), ('investment', 2), ('field', 2), ('come', 2), ('larger', 2), ('gas', 2), ('able', 2), ('president', 2), ('plan', 2), ('assures', 1), ('hospital', 1), ('survey', 1), ('press', 1), ('originally', 1), ('well', 1), ('people', 1), ('star', 1), ('expansion', 1), ('shortsighted', 1), ('oppose', 1), ('donato', 1), ('abila', 1), ('today', 1), ('seeing', 1), ('said', 1), ('dividend', 1), ('proud', 1), ('already', 1), ('moment', 1), ('minister', 1), ('mr', 1), ('finally', 1), ('comment', 1), ('result', 1), ('estimated', 1), ('several', 1), ('recent', 1), ('office', 1), ('5', 1), ('1996', 1), ('improvement', 1), ('saying', 1), ('without', 1), ('sartos', 1), ('mean', 1), ('like', 1), ('astounded', 1), ('ministry', 1), ('contacted', 1), ('decade', 1), ('petri', 1), ('port', 1), ('gastechs', 1), ('release', 1), ('could', 1), ('time', 1), ('large', 1), ('araullos', 1), ('history', 1), ('thank', 1), ('lure', 1), ('announced', 1), ('march', 1), ('almost', 1), ('defining', 1), ('one', 1), ('much', 1), ('interior', 1), ('thought', 1), ('go', 1), ('first', 1), ('undertaken', 1), ('new', 1), ('13', 1), ('sens', 1), ('would', 1), ('tax', 1), ('otherwise', 1), ('project', 1), ('news', 1), ('hope', 1), ('reap', 1), ('huge', 1)]",Tiskele Bend Gas Fields Larger Than First Thought
43,43,"['modern', 'rubicon', 'scene', 'blog', '20', 'january', '2014', 'modernization', '1732', 'great', 'part', 'information', 'reunited', 'employ', 'gastech', 'allowed', 'go', 'point', 'investigator', 'police', 'kidnapping', 'several', 'employ', 'gastech', 'however', 'civil', 'employee', 'still', 'confirmed', 'kidnapping', 'happened', 'number', 'employ', 'lacking', 'indeterminato', 'currently', 'given', 'confusion', 'begin', 'false', 'fire', 'fire', 'signaler', 'sure', 'indication', 'protection', 'kronos', 'recent', 'group', 'activist', 'charge', 'many', 'demonstration', 'commotion', 'around', 'abila', 'thought', 'suspicion', 'responsible', 'kidnapping', 'align', 'escalation', 'alarming', 'violence', 'group', 'activist']",2014-01-20,C1,0.5308080808080807,0.1909090909090909,Positive,"[('kidnapping', 3), ('employ', 3), ('group', 2), ('gastech', 2), ('activist', 2), ('fire', 2), ('escalation', 1), ('investigator', 1), ('rubicon', 1), ('happened', 1), ('abila', 1), ('commotion', 1), ('around', 1), ('many', 1), ('1732', 1), ('civil', 1), ('information', 1), ('confirmed', 1), ('thought', 1), ('currently', 1), ('begin', 1), ('alarming', 1), ('go', 1), ('still', 1), ('2014', 1), ('20', 1), ('part', 1), ('confusion', 1), ('false', 1), ('indication', 1), ('indeterminato', 1), ('employee', 1), ('kronos', 1), ('sure', 1), ('blog', 1), ('suspicion', 1), ('align', 1), ('police', 1), ('modernization', 1), ('number', 1), ('january', 1), ('modern', 1), ('allowed', 1), ('demonstration', 1), ('point', 1), ('violence', 1), ('responsible', 1), ('reunited', 1), ('several', 1), ('however', 1), ('lacking', 1), ('signaler', 1), ('given', 1), ('great', 1), ('protection', 1), ('recent', 1), ('charge', 1), ('scene', 1)]",ON SCENE BLOG
44,44,"['tethys', 'news', 'break', 'emergency', 'gastech', 'quarter', 'construction', 'modernization', '20', 'january', '2014', 'modernization', '200', 'pm', 'government', 'automobile', 'allowed', 'perimeter', 'police', 'occupant', 'seems', 'emergency', 'civil', 'employee', 'left', 'construction']",2014-01-20,C1,0.0,-0.0,Neutral,"[('construction', 2), ('modernization', 2), ('emergency', 2), ('200', 1), ('gastech', 1), ('civil', 1), ('government', 1), ('quarter', 1), ('2014', 1), ('20', 1), ('occupant', 1), ('perimeter', 1), ('tethys', 1), ('police', 1), ('automobile', 1), ('seems', 1), ('left', 1), ('january', 1), ('allowed', 1), ('pm', 1), ('break', 1), ('news', 1), ('employee', 1)]",To break off itself: The emergency to GAStech quarters the construction [modernizations]
45,45,"['news', 'online', 'today', 'pok', 'labeled', 'public', 'threat', '20110728', 'abila', 'kronos', 'statement', 'press', 'today', 'government', 'spokesman', 'rufus', 'drymiau', 'said', 'pok', 'justifiably', 'public', 'threat', 'due', 'violent', 'demonstration', 'opportunistic', 'vandalism', 'clash', 'police']",2011-07-28,C2,0.3770833333333333,-0.23125,Negative,"[('today', 2), ('threat', 2), ('pok', 2), ('public', 2), ('abila', 1), ('opportunistic', 1), ('20110728', 1), ('rufus', 1), ('said', 1), ('press', 1), ('statement', 1), ('clash', 1), ('due', 1), ('government', 1), ('drymiau', 1), ('vandalism', 1), ('kronos', 1), ('violent', 1), ('spokesman', 1), ('police', 1), ('demonstration', 1), ('labeled', 1), ('justifiably', 1), ('news', 1), ('online', 1)]","POK Labeled a ""Public Threat"" "
46,46,"['news', 'online', 'today', 'sanjorge', 'jr', 'taking', 'gastech', 'international', 'public', '20130903', 'centrum', 'tethys', '52', 'year', 'privately', 'owned', 'sten', 'sanjorge', 'jr', 'company', 'founded', '1961', 'sten', 'sanjorge', 'sr', 'said', 'monday', 'plan', 'stock', 'offering', 'could', 'place', 'value', 'neighborhood', '375', 'billion']",2013-09-03,C0,0.14722222222222223,-0.0,Neutral,"[('sanjorge', 3), ('jr', 2), ('sten', 2), ('international', 1), ('today', 1), ('taking', 1), ('offering', 1), ('375', 1), ('stock', 1), ('owned', 1), ('gastech', 1), ('52', 1), ('said', 1), ('privately', 1), ('year', 1), ('monday', 1), ('centrum', 1), ('plan', 1), ('public', 1), ('value', 1), ('place', 1), ('founded', 1), ('could', 1), ('20130903', 1), ('tethys', 1), ('1961', 1), ('company', 1), ('sr', 1), ('billion', 1), ('neighborhood', 1), ('news', 1), ('online', 1)]",SANJORGE JR. TAKING GASTECH INTERNATIONAL PUBLIC 
47,47,"['guide', 'distribution', 'strike', 'government', 'international', 'gastech', '19930313', 'abila', 'kronos', 'president', 'araullo', 'today', 'announced', 'companysignature', 'agreement', 'government', 'gastech', 'tethysbased', 'international', 'development', 'gas', 'field', 'curve', 'tiskele', 'gastech', 'direction', 'visionary', 'jr', 'sten', 'sanjorge', 'granted', 'right', 'exclusive', 'perforate', 'inside', 'governmental', 'field', 'suitable', 'request', 'government', '50', 'manual', 'labor', 'citizen', 'kronosian', 'president', 'araullo', 'hailed', 'distribution', 'signal', 'like', 'principle', 'new', 'one', 'great', 'country', 'era', 'opportunity', 'fortune', 'source', 'department', 'interior', 'say', 'u', 'tax', '50', 'tax', 'new', 'exploration', 'oil', 'gas', 'could', 'render', 'superior', '1', 'billion', 'fiscal', 'income', 'per', 'year', 'allow', 'government', 'make', 'investment', 'without', 'precedent', 'infrastructure', 'medical', 'care', 'education']",1993-03-13,C0,0.41363636363636364,0.29034090909090904,Positive,"[('government', 4), ('gastech', 3), ('international', 2), ('50', 2), ('araullo', 2), ('new', 2), ('distribution', 2), ('gas', 2), ('tax', 2), ('field', 2), ('president', 2), ('abila', 1), ('source', 1), ('per', 1), ('without', 1), ('today', 1), ('jr', 1), ('exclusive', 1), ('citizen', 1), ('right', 1), ('principle', 1), ('tethysbased', 1), ('inside', 1), ('one', 1), ('department', 1), ('allow', 1), ('sanjorge', 1), ('governmental', 1), ('precedent', 1), ('year', 1), ('interior', 1), ('medical', 1), ('say', 1), ('render', 1), ('development', 1), ('infrastructure', 1), ('companysignature', 1), ('visionary', 1), ('request', 1), ('signal', 1), ('direction', 1), ('agreement', 1), ('care', 1), ('kronos', 1), ('exploration', 1), ('fiscal', 1), ('19930313', 1), ('kronosian', 1), ('education', 1), ('could', 1), ('manual', 1), ('oil', 1), ('opportunity', 1), ('income', 1), ('u', 1), ('granted', 1), ('make', 1), ('investment', 1), ('curve', 1), ('era', 1), ('perforate', 1), ('labor', 1), ('superior', 1), ('1', 1), ('billion', 1), ('sten', 1), ('suitable', 1), ('hailed', 1), ('great', 1), ('guide', 1), ('strike', 1), ('fortune', 1), ('announced', 1), ('like', 1), ('tiskele', 1), ('country', 1)]",Distribution of strikes of the government with international GAStech
48,48,"['athena', 'speaks', 'accident', 'traffic', 'close', 'elodis', '20070411', 'abila', 'kronos', 'search', 'government', 'concluded', 'accident', 'traffic', 'implying', 'international', 'vehicle', 'gastech', 'vehicle', 'family', 'elodis', 'result', 'death', 'four', 'member', 'family', 'result', 'error', 'driver', 'behalf', 'driver', 'elodisian', 'spokesman', 'rufus', 'drymiau', 'government', 'said', 'research', 'found', 'accident', 'fatal', 'started', 'driver', 'elodis', 'crossed', 'similar', 'traffic', 'three', 'passenger', 'valeria', 'edris', 'celia', 'edris', 'marcellus', 'edris', 'died', 'scene', 'edris', 'carmine', '9', 'proved', 'wander', 'around', 'site', 'accident', 'succumbed', 'damage', 'later', 'hospital', 'abila', 'driver', 'truck', 'gastech', 'received', 'minor', 'damage', 'taken', 'hospital', 'observation', 'exposure', 'international', 'wish', 'gastech', 'generosity', 'corporation', 'give', 'money', 'remaining', 'member', 'family']",2007-04-11,C0,0.12000000000000002,-0.01,Negative,"[('driver', 4), ('accident', 4), ('edris', 4), ('traffic', 3), ('gastech', 3), ('family', 3), ('elodis', 3), ('international', 2), ('abila', 2), ('hospital', 2), ('vehicle', 2), ('government', 2), ('damage', 2), ('member', 2), ('result', 2), ('close', 1), ('site', 1), ('truck', 1), ('error', 1), ('around', 1), ('exposure', 1), ('rufus', 1), ('death', 1), ('fatal', 1), ('said', 1), ('passenger', 1), ('valeria', 1), ('died', 1), ('proved', 1), ('wander', 1), ('marcellus', 1), ('wish', 1), ('remaining', 1), ('later', 1), ('athena', 1), ('found', 1), ('concluded', 1), ('celia', 1), ('drymiau', 1), ('similar', 1), ('kronos', 1), ('implying', 1), ('9', 1), ('minor', 1), ('taken', 1), ('started', 1), ('spokesman', 1), ('research', 1), ('three', 1), ('speaks', 1), ('succumbed', 1), ('give', 1), ('elodisian', 1), ('four', 1), ('received', 1), ('behalf', 1), ('search', 1), ('observation', 1), ('20070411', 1), ('carmine', 1), ('corporation', 1), ('generosity', 1), ('scene', 1), ('money', 1), ('crossed', 1)]",ACCIDENT OF TRAFFIC CLOSE TO ELODIS 
